superfamily,family,genus,species,species_name,species_tree,pattern_type,band_bin,ophiophagy,ophiophagy_bin,state,amphibian,snake,lizard,fish,insect,annelid,arthropod,crustacean,mollusc,bird,bird_egg,reptile_egg,mammal,unknown
Acrochordoidea,Acrochordidae,Acrochordus,arafurae,Acrochordus arafurae ,Acrochordus_arafurae,zig-zag,0,No,0,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,
Acrochordoidea,Acrochordidae,Acrochordus,granulatus,Acrochordus granulatus,Acrochordus_granulatus,zig-zag,0,No,0,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,
Uropeltoidea,Anomochilidae,Acrochordus,javanicus,Acrochordus javanicus,Acrochordus_javanicus,blotchy,0,No,0,1,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,
Uropeltoidea,Anomochilidae,Anomochilus,leonardi,Anomochilus leonardi,Anomochilus_leonardi,blotchy,0,No,0,1,No,No,No,No,Yes,No,No,No,No,No,No,No,No,
Uropeltoidea,Anomochilidae,Anomochilus,monticola,Anomochilus monticola ,Anomochilus_monticola,uniform,0,No,0,1,No,No,No,No,Yes,No,No,No,No,No,No,No,No,
Uropeltoidea,Anomochilidae,Anomochilus,weberi,Anomochilus weberi ,Anomochilus_weberi,blotchy,0,No,0,1,No,No,No,No,Yes,No,No,No,No,No,No,No,No,
Uropeltoidea,Cylindrophiidae,Cylindrophis,aruensis,Cylindrophis aruensis,Cylindrophis_aruensis,bold ventral,0,No,0,1,No,No,No,No,Yes,No,No,No,No,No,No,No,No,
Uropeltoidea,Cylindrophiidae,Cylindrophis,boulengeri,Cylindrophis boulengeri,Cylindrophis_boulengeri,bold ventral,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Cylindrophiidae,Cylindrophis,burmanus,Cylindrophis burmanus ,Cylindrophis_burmanus,bold ventral,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Cylindrophiidae,Cylindrophis,engkariensis,Cylindrophis engkariensis ,Cylindrophis_engkariensis,uniform with spots,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Cylindrophiidae,Cylindrophis,isolepis,Cylindrophis isolepis,Cylindrophis_isolepis,uniform,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Cylindrophiidae,Cylindrophis,jodiae,Cylindrophis jodiae ,Cylindrophis_jodiae,bold ventral,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Cylindrophiidae,Cylindrophis,lineatus,Cylindrophis lineatus,Cylindrophis_lineatus,stripe line,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Cylindrophiidae,Cylindrophis,maculatus,Cylindrophis maculatus,Cylindrophis_maculatus,ringed,1,Yes,1,4,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,
Uropeltoidea,Cylindrophiidae,Cylindrophis,melanotus,Cylindrophis melanotus,Cylindrophis_melanotus,uniform,0,Yes,1,3,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,
Uropeltoidea,Cylindrophiidae,Cylindrophis,opisthorhodus,Cylindrophis opisthorhodus,Cylindrophis_opisthorhodus,uniform,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Cylindrophiidae,Cylindrophis,osheai,Cylindrophis osheai,Cylindrophis_osheai,bold ventral,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Cylindrophiidae,Cylindrophis,ruffus,Cylindrophis ruffus,Cylindrophis_ruffus,bold ventral,0,Yes,1,3,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,
Uropeltoidea,Cylindrophiidae,Cylindrophis,subocularis,Cylindrophis subocularis,Cylindrophis_subocularis,bold ventral,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Cylindrophiidae,Cylindrophis,yamdena,Cylindrophis yamdena,Cylindrophis_yamdena,uniform with spots,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Uropeltidae,Melanophidium,bilineatum,Melanophidium bilineatum,Melanophidium_bilineatum,uniform,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Uropeltidae,Melanophidium,khairei,Melanophidium khairei ,Melanophidium_khairei,uniform,0,No,0,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
Uropeltoidea,Uropeltidae,Melanophidium,punctatum,Melanophidium punctatum,Melanophidium_punctatum,uniform,0,No,0,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
Uropeltoidea,Uropeltidae,Melanophidium,wynaudense,Melanophidium wynaudense,Melanophidium_wynaudense,uniform,0,No,0,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
Uropeltoidea,Uropeltidae,Platyplectrurus,madurensis,Platyplectrurus madurensis,Platyplectrurus_madurensis,uniform,0,No,0,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
Uropeltoidea,Uropeltidae,Platyplectrurus,trilineatus,Platyplectrurus trilineatus,Platyplectrurus_trilineatus,uniform with spots,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Uropeltidae,Plectrurus,aureus,Plectrurus aureus,Plectrurus_aureus,uniform with spots,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Uropeltidae,Plectrurus,guentheri,Plectrurus guentheri ,Plectrurus_guentheri,uniform,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Uropeltidae,Plectrurus,perroteti,Plectrurus perroteti ,Plectrurus_perroteti,uniform,0,No,0,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
Uropeltoidea,Uropeltidae,Pseudoplectrurus,canaricus,Pseudoplectrurus canaricus,Plectrurus_canaricus,uniform with spots,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Uropeltidae,Rhinophis,blythii,Rhinophis blythii,Rhinophis_blythii,uniform with spots,0,No,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Uropeltoidea,Uropeltidae,Rhinophis,dorsimaculatus,Rhinophis dorsimaculatus,Rhinophis_dorsimaculatus,uniform with spots,0,No,0,1,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
